keys,ru,en
menu_start_game,Начать игру,Start Game
ui_press_any_key,Нажмите любую кнопку,Press Any Key
menu_settings,Настройки,Settings
menu_exit,Выход,Exit
settings_title,НАСТРОЙКИ,SETTINGS
set_audio_title,ЗВУК,AUDIO
set_master_volume,Общая громкость,Master Volume
set_sfx_volume,Эффекты,SFX
set_display_title,ЭКРАН,DISPLAY
set_fullscreen,Полноэкранный режим,Fullscreen Mode
set_ui_scale,Масштаб интерфейса,UI Scale
set_resolution,Разрешение экрана,Resolution
set_gameplay_title,ГЕЙМПЛЕЙ,GAMEPLAY
set_save_exit,Сохранить и выйти,Save and Exit
multi_title,МУЛЬТИПЛЕЕР,MULTIPLAYER
multi_nickname,Никнейм,Nickname
multi_ip,IP-адрес сервера,Server IP
multi_password,Пароль сервера,Server Password
multi_pvp,PvP режим,PvP Mode
multi_connect_title,Коннект,Connection
multi_create_game,Создать игру,Create Game
multi_join_game,Подключиться,Join Game
ctrl_title,УПРАВЛЕНИЕ,CONTROLS
ctrl_move_left,Движение влево,Move Left
ctrl_move_right,Движение вправо,Move Right
ctrl_jump,Прыжок,Jump
ctrl_attack,Атака,Attack
ctrl_use,Использовать,Use
ctrl_interact,Взаимодействие,Interact
ctrl_skill_1,Навык 1,Skill 1
ctrl_skill_2,Навык 2,Skill 2
ctrl_skill_3,Навык 3,Skill 3
ctrl_walk_slow,Идти медленно,Walk Slowly
ctrl_inventory,Инвентарь,Inventory
ctrl_stats,Характеристики,Stats
ctrl_global_map,Глобальная карта,Global Map
ctrl_minimap,Мини-карта,Minimap
ctrl_menu_settings,Меню / Настройки,Menu / Settings
char_enter_name,Введите имя,Enter Name
char_positive_traits,Положительные,Good Traits
char_negative_traits,Отрицательные,Bad Traits
char_sandbox_mode,Свободный режим,Sandbox Mode
world_create_title,СОЗДАНИЕ МИРА,WORLD CREATION
world_name_input,Имя:,Name:
world_seed_input,Сид:,Seed:
world_size_title,РАЗМЕР,SIZE
size_small,Маленький,Small
size_medium,Средний,Medium
size_large,Большой,Large
world_diff_title,СЛОЖНОСТЬ,DIFFICULTY
diff_normal,Обычный,Normal
diff_hard,Сложный,Hard
diff_hardcore,Хард,Hardcore
btn_cancel,Отмена,Cancel
btn_next,Далее,Next
btn_back,Назад,Back
btn_exit_world,Выйти,Leave
btn_create,Создать,Create
ui_character_prefix,Персонаж:,Character:
ui_good_traits,Хорошие:,Good:
ui_bad_traits,Плохие:,Bad:
,,
load_seed,Генерация сида...,Generating seed...
load_resources,Собираем ресурсы...,Gathering resources...
load_dirt,Выкладываем землю...,Laying the ground...
load_fluids,Разливаем воду и лаву...,Pouring water and lava...
load_trees,Сажаем деревья...,Planting trees...
load_light,Настраиваем свет...,Adjusting lighting...
load_chests,Прячем сундуки с лутом...,Hiding loot chests...
